id;categoria;analise_humana;prompt;model
RNP2021-057597;CAT1;CAT9;htp;deepseek-r1:1.5b
RNP2022-023008;CAT2;CAT3;htp;deepseek-r1:1.5b
RNP2022-023506;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2022-023955;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2022-024988;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2022-025034;CAT5;CAT2;htp;deepseek-r1:1.5b
RNP2022-025787;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-026208;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-026209;CAT3;CAT12;htp;deepseek-r1:1.5b
RNP2022-026697;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2022-035887;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2022-041417;CAT4;CAT12;htp;deepseek-r1:1.5b
RNP2022-043526;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2022-044974;CAT5;CAT5;htp;deepseek-r1:1.5b
RNP2022-045328;CAT3;CAT2;htp;deepseek-r1:1.5b
RNP2022-045342;CAT3;SEM CATEGORIA DEFINIDA;htp;deepseek-r1:1.5b
RNP2022-053173;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2022-053173;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2022-055443;CAT5;CAT3;htp;deepseek-r1:1.5b
RNP2022-055443;CAT5;CAT3;htp;deepseek-r1:1.5b
RNP2022-089514;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2022-089514;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2022-089517;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2022-095709;CAT1;CAT9;htp;deepseek-r1:1.5b
RNP2022-096282;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2022-097218;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2022-105070;CAT6;CAT12;htp;deepseek-r1:1.5b
RNP2022-106330;CAT1;CAT3;htp;deepseek-r1:1.5b
RNP2022-106331;CAT1;CAT3;htp;deepseek-r1:1.5b
RNP2022-107139;CAT3;CAT3;htp;deepseek-r1:1.5b
RNP2022-107566;CAT2;CAT3;htp;deepseek-r1:1.5b
RNP2022-108283;CAT3;CAT3;htp;deepseek-r1:1.5b
RNP2022-108583;CAT1;CAT12;htp;deepseek-r1:1.5b
RNP2022-111244;CAT3;CAT3;htp;deepseek-r1:1.5b
RNP2022-111527;CAT3;CAT3;htp;deepseek-r1:1.5b
RNP2022-111528;CAT3;CAT3;htp;deepseek-r1:1.5b
RNP2022-112331;CAT1;CAT3;htp;deepseek-r1:1.5b
RNP2022-112823;CAT1;CAT3;htp;deepseek-r1:1.5b
RNP2022-122349;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-001278;CAT6;CAT5;htp;deepseek-r1:1.5b
RNP2023-004547;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-012205;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-013407;CAT3;CAT3;htp;deepseek-r1:1.5b
RNP2023-013411;CAT1;SEM CATEGORIA DEFINIDA;htp;deepseek-r1:1.5b
RNP2023-014056;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-014057;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-014128;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-015784;CAT6;CAT5;htp;deepseek-r1:1.5b
RNP2023-016791;CAT2;CAT12;htp;deepseek-r1:1.5b
RNP2023-029291;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2023-029292;CAT5;CAT5;htp;deepseek-r1:1.5b
RNP2023-029293;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-029294;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-029767;CAT1;SEM CATEGORIA DEFINIDA;htp;deepseek-r1:1.5b
RNP2023-036227;CAT2;SEM CATEGORIA DEFINIDA;htp;deepseek-r1:1.5b
RNP2023-036228;CAT6;SEM CATEGORIA DEFINIDA;htp;deepseek-r1:1.5b
RNP2023-036554;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2023-044249;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-046106;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-055023;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2023-059033;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-068504;CAT5;CAT5;htp;deepseek-r1:1.5b
RNP2023-069671;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-071011;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2023-076400;CAT4;CAT12;htp;deepseek-r1:1.5b
RNP2023-076401;CAT2;CAT12;htp;deepseek-r1:1.5b
RNP2023-077411;CAT3;CAT12;htp;deepseek-r1:1.5b
RNP2023-080346;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-081191;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-082920;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-086309;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-086310;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-116124;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2023-123500;CAT1;CAT5;htp;deepseek-r1:1.5b
RNP2023-124983;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2023-127753;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-003785;CAT5;CAT5;htp;deepseek-r1:1.5b
RNP2024-004860;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2024-019317;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2024-026781;CAT11;SEM CATEGORIA DEFINIDA;htp;deepseek-r1:1.5b
RNP2024-026782;CAT6;SEM CATEGORIA DEFINIDA;htp;deepseek-r1:1.5b
RNP2024-028538;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-033701;CAT5;CAT5;htp;deepseek-r1:1.5b
RNP2024-044532;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-044535;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2024-046945;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2024-058734;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2024-058735;CAT4;CAT5;htp;deepseek-r1:1.5b
RNP2024-075680;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2024-076844;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-084127;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2024-101169;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-103100;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2024-103102;CAT3;CAT5;htp;deepseek-r1:1.5b
RNP2021-003618;CAT2;CAT5;htp;deepseek-r1:1.5b
RNP2022-125941;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-126521;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-127135;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-138345;unknown;CAT5;php;deepseek-r1:1.5b
RNP2022-140134;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-140240;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-144752;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-145040;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-003785;Unknown;CAT5;php;deepseek-r1:1.5b
RNP2023-017112;CAT10;CAT5;php;deepseek-r1:1.5b
RNP2023-021009;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-024598;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-026754;CAT6;CAT5;php;deepseek-r1:1.5b
RNP2023-027278;CAT12;CAT5;php;deepseek-r1:1.5b
RNP2023-027279;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-032613;CAT5;CAT3;php;deepseek-r1:1.5b
RNP2023-032614;Unknown;CAT12;php;deepseek-r1:1.5b
RNP2023-033577;CAT7;CAT5;php;deepseek-r1:1.5b
RNP2023-035005;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-038886;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-039374;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-040569;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-040698;CAT9;CAT5;php;deepseek-r1:1.5b
RNP2023-040699;CAT10;CAT5;php;deepseek-r1:1.5b
RNP2023-040700;CAT10;CAT5;php;deepseek-r1:1.5b
RNP2023-044557;CAT7;CAT5;php;deepseek-r1:1.5b
RNP2023-045985;CAT1;CAT1;php;deepseek-r1:1.5b
RNP2023-046541;CAT1;CAT1;php;deepseek-r1:1.5b
RNP2023-049266;CAT2;CAT2;php;deepseek-r1:1.5b
RNP2023-056442;CAT6;CAT5;php;deepseek-r1:1.5b
RNP2023-056851;CAT1;CAT2;php;deepseek-r1:1.5b
RNP2023-062847;CAT3;CAT3;php;deepseek-r1:1.5b
RNP2023-072050;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-075081;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-075082;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-075083;CAT1;CAT5;php;deepseek-r1:1.5b
RNP2023-119920;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-119923;CAT10;CAT5;php;deepseek-r1:1.5b
RNP2023-119924;CAT1;CAT5;php;deepseek-r1:1.5b
RNP2023-128523;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2024-000940;Distribución de Atacas DDoS;CAT5;php;deepseek-r1:1.5b
RNP2024-001493;Unknown;CAT5;php;deepseek-r1:1.5b
RNP2024-006382;CAT10;SEM CATEGORIA DEFINIDA;php;deepseek-r1:1.5b
RNP2024-006474;CAT1;CAT5;php;deepseek-r1:1.5b
RNP2024-021200;Attack on a Network;CAT5;php;deepseek-r1:1.5b
RNP2024-023621;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2024-029116;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2024-029117;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2024-029119;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2024-029122;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2024-031572;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2024-038029;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2024-043142;Unknown;CAT5;php;deepseek-r1:1.5b
RNP2024-049905;CAT7;CAT5;php;deepseek-r1:1.5b
RNP2024-054399;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2024-071998;CAT9;CAT5;php;deepseek-r1:1.5b
RNP2021-029717;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2021-056045;CAT1;CAT9;php;deepseek-r1:1.5b
RNP2021-056047;CAT4;CAT9;php;deepseek-r1:1.5b
RNP2021-089940;CAT2;CAT5;php;deepseek-r1:1.5b
RNP2022-023007;CAT3;CAT3;php;deepseek-r1:1.5b
RNP2022-023918;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-026800;CAT6;CAT12;php;deepseek-r1:1.5b
RNP2022-026801;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-026802;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-026803;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-026817;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-026818;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-026825;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-031358;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-031359;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-032381;unknown;CAT5;php;deepseek-r1:1.5b
RNP2022-037776;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-037777;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2022-041416;CAT11;CAT12;php;deepseek-r1:1.5b
RNP2022-042044;CAT6;CAT12;php;deepseek-r1:1.5b
RNP2022-042745;Unknown;CAT12;php;deepseek-r1:1.5b
RNP2022-042747;CAT9;CAT12;php;deepseek-r1:1.5b
RNP2022-083997;CAT10;CAT5;php;deepseek-r1:1.5b
RNP2022-085230;CAT7;CAT5;php;deepseek-r1:1.5b
RNP2022-100003;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2022-103272;CAT9;CAT12;php;deepseek-r1:1.5b
RNP2022-107371;CAT10;CAT5;php;deepseek-r1:1.5b
RNP2022-107571;CAT1;CAT3;php;deepseek-r1:1.5b
RNP2022-108489;CAT6;CAT5;php;deepseek-r1:1.5b
RNP2022-120804;unknown;CAT5;php;deepseek-r1:1.5b
RNP2022-123618;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-104330;CAT10;CAT9;php;deepseek-r1:1.5b
RNP2021-014254;CAT1;CAT5;php;deepseek-r1:1.5b
RNP2021-014262;CAT1;CAT7;php;deepseek-r1:1.5b
RNP2021-014273;CAT2;CAT5;php;deepseek-r1:1.5b
RNP2021-014295;Unknown;CAT7;php;deepseek-r1:1.5b
RNP2021-014310;CAT2;CAT12;php;deepseek-r1:1.5b
RNP2021-014311;CAT1;CAT9;php;deepseek-r1:1.5b
RNP2021-039405;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2024-089733;CAT1;CAT10;php;deepseek-r1:1.5b
RNP2021-036715;Unknown;SEM CATEGORIA DEFINIDA;php;deepseek-r1:1.5b
RNP2021-056046;CAT1;CAT9;php;deepseek-r1:1.5b
RNP2021-056583;CAT1;CAT9;php;deepseek-r1:1.5b
RNP2021-057597;CAT1;CAT9;php;deepseek-r1:1.5b
RNP2022-023008;CAT3;CAT3;php;deepseek-r1:1.5b
RNP2022-023506;unknown;CAT5;php;deepseek-r1:1.5b
RNP2022-023955;CAT1;CAT5;php;deepseek-r1:1.5b
RNP2022-024988;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-025034;CAT7;CAT2;php;deepseek-r1:1.5b
RNP2022-025787;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-026208;CAT6;CAT12;php;deepseek-r1:1.5b
RNP2022-026209;CAT12;CAT12;php;deepseek-r1:1.5b
RNP2022-026697;Unknown;CAT5;php;deepseek-r1:1.5b
RNP2022-035887;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-041417;CAT3;CAT12;php;deepseek-r1:1.5b
RNP2022-043526;CAT10;CAT5;php;deepseek-r1:1.5b
RNP2022-044974;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-045328;CAT7;CAT2;php;deepseek-r1:1.5b
RNP2022-045342;CAT1;SEM CATEGORIA DEFINIDA;php;deepseek-r1:1.5b
RNP2022-053173;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-053173;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-055443;CAT3;CAT3;php;deepseek-r1:1.5b
RNP2022-055443;CAT3;CAT3;php;deepseek-r1:1.5b
RNP2022-089514;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-089514;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2022-089517;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2022-095709;CAT1;CAT9;php;deepseek-r1:1.5b
RNP2022-096282;CAT10;CAT5;php;deepseek-r1:1.5b
RNP2022-097218;CAT10;CAT5;php;deepseek-r1:1.5b
RNP2022-105070;CAT6;CAT12;php;deepseek-r1:1.5b
RNP2022-106330;CAT5;CAT3;php;deepseek-r1:1.5b
RNP2022-106331;CAT3;CAT3;php;deepseek-r1:1.5b
RNP2022-107139;CAT7;CAT3;php;deepseek-r1:1.5b
RNP2022-107566;CAT5;CAT3;php;deepseek-r1:1.5b
RNP2022-108283;CAT3;CAT3;php;deepseek-r1:1.5b
RNP2022-108583;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2022-111244;CAT3;CAT3;php;deepseek-r1:1.5b
RNP2022-111527;CAT3;CAT3;php;deepseek-r1:1.5b
RNP2022-111528;CAT3;CAT3;php;deepseek-r1:1.5b
RNP2022-112331;CAT3;CAT3;php;deepseek-r1:1.5b
RNP2022-112823;CAT3;CAT3;php;deepseek-r1:1.5b
RNP2022-122349;CAT7;CAT5;php;deepseek-r1:1.5b
RNP2023-001278;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-004547;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-012205;CAT7;CAT5;php;deepseek-r1:1.5b
RNP2023-013407;CAT1;CAT3;php;deepseek-r1:1.5b
RNP2023-013411;CAT1;SEM CATEGORIA DEFINIDA;php;deepseek-r1:1.5b
RNP2023-014056;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-014057;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-014128;unknown;CAT5;php;deepseek-r1:1.5b
RNP2023-015784;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-016791;CAT5;CAT12;php;deepseek-r1:1.5b
RNP2023-029291;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-029292;CAT6;CAT5;php;deepseek-r1:1.5b
RNP2023-029293;unknown;CAT5;php;deepseek-r1:1.5b
RNP2023-029294;CAT6;CAT5;php;deepseek-r1:1.5b
RNP2023-029767;CAT10;SEM CATEGORIA DEFINIDA;php;deepseek-r1:1.5b
RNP2023-036227;Unknown;SEM CATEGORIA DEFINIDA;php;deepseek-r1:1.5b
RNP2023-036228;CAT4;SEM CATEGORIA DEFINIDA;php;deepseek-r1:1.5b
RNP2023-036554;DOODS;CAT5;php;deepseek-r1:1.5b
RNP2023-044249;CAT7;CAT5;php;deepseek-r1:1.5b
RNP2023-046106;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-055023;CAT10;CAT5;php;deepseek-r1:1.5b
RNP2023-059033;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-068504;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-069671;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-071011;unknown;CAT5;php;deepseek-r1:1.5b
RNP2023-076400;CAT5;CAT12;php;deepseek-r1:1.5b
RNP2023-076401;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2023-077411;CAT1;CAT12;php;deepseek-r1:1.5b
RNP2023-080346;Malware/Phishing;CAT5;php;deepseek-r1:1.5b
RNP2023-081191;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-082920;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-086309;CAT12;CAT5;php;deepseek-r1:1.5b
RNP2023-086310;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2023-116124;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2023-123500;unknown;CAT5;php;deepseek-r1:1.5b
RNP2023-124983;CAT7;CAT5;php;deepseek-r1:1.5b
RNP2023-127753;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2024-003785;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2024-004860;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2024-019317;unknown;CAT5;php;deepseek-r1:1.5b
RNP2024-026781;Unknown;SEM CATEGORIA DEFINIDA;php;deepseek-r1:1.5b
RNP2024-026782;CAT1;SEM CATEGORIA DEFINIDA;php;deepseek-r1:1.5b
RNP2024-028538;CAT3;CAT5;php;deepseek-r1:1.5b
RNP2024-033701;Response Handling Issues;CAT5;php;deepseek-r1:1.5b
RNP2024-044532;CAT4;CAT5;php;deepseek-r1:1.5b
RNP2024-044535;Domain-Level Compromise (DLC);CAT5;php;deepseek-r1:1.5b
RNP2024-046945;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2024-058734;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2024-058735;CAT1;CAT5;php;deepseek-r1:1.5b
RNP2024-075680;CAT8;CAT5;php;deepseek-r1:1.5b
RNP2024-076844;CAT5;CAT5;php;deepseek-r1:1.5b
RNP2024-084127;CAT7;CAT5;php;deepseek-r1:1.5b
RNP2024-101169;Unknown;CAT5;php;deepseek-r1:1.5b
RNP2024-103100;CAT12;CAT5;php;deepseek-r1:1.5b
RNP2024-103102;KIV;CAT5;php;deepseek-r1:1.5b
RNP2021-003618;CAT6;CAT5;php;deepseek-r1:1.5b
RNP2022-125941;CAT1;CAT12;prp;deepseek-r1:1.5b
RNP2022-126521;unknown;CAT12;prp;deepseek-r1:1.5b
RNP2022-127135;CAT3;CAT5;prp;deepseek-r1:1.5b
RNP2022-138345;unknown;CAT5;prp;deepseek-r1:1.5b
RNP2022-140134;unknown;CAT5;prp;deepseek-r1:1.5b
RNP2022-140240;CAT5;CAT12;prp;deepseek-r1:1.5b
RNP2022-144752;Unknown;CAT5;prp;deepseek-r1:1.5b
RNP2022-145040;CAT10;CAT5;prp;deepseek-r1:1.5b
RNP2023-003785;CAT3;CAT5;prp;deepseek-r1:1.5b
